"Product_ID","Word","MeanFreq"
"32red","red",1.63268072128631e-06
"32red","Paprika",5.48470126204847e-07
"32red","Chips",2.79377741208009e-06
"32red","reinem",1.64170324978841e-06
"32red","Sonnenblumenöl",1.0863067601008e-07
"32red","ausgewählte",1.12575721686881e-05
"32red","Gewürze",1.11074177766568e-06
"32red","Qualitätsversprechen",8.21714820631314e-08
"32red","Premium",2.31297440222988e-06
"32red","Genuss",7.83020050221239e-06
"32red","beste",2.428964489809e-05
"32red","Zutaten",2.60936872109596e-06
"32red","Zusatzstoffe",5.39902345053633e-07
"32red","künstliche",6.02897648604994e-06
"32red","Farbstoffe",5.58177845277896e-07
"32red","beste",2.428964489809e-05
"32red","Kartoffeln",4.37649123341544e-06
"32red","kontrolliertem",1.40150476113376e-07
"32red","Anbau",3.42001931130653e-06
"32red","reines",4.72246279059618e-06
"32red","Sonnenblumenöl",1.0863067601008e-07
"32red","unvergleichliche",4.8936479402073e-07
"32red","einzigartigen",3.43392184731783e-06
"32red","Geschmack",1.14110548565804e-05
"32red","Vegetarier",4.25426890160452e-07
"32red","geeignet",4.85308519273531e-05
"32red","glutenfrei",1.17111339292819e-07
"32red","Kartoffelchips",1.46123653621544e-07
"32red","Paprika",5.48470126204847e-07
"32red","Geschmack",1.14110548565804e-05
