"Product_ID","Word","MeanFreq"
"21Salz","Salz",5.14545513397024e-06
"21Salz","Chips",2.79377741208009e-06
"21Salz","Salz",5.14545513397024e-06
"21Salz","Chips",2.79377741208009e-06
"21Salz","Lebensmittel",1.29734598885989e-05
"21Salz","ausgewählter",6.49122807772073e-06
"21Salz","Produzenten",1.04225564427907e-05
"21Salz","dabei",0.000388894841307774
"21Salz","achten",2.9510344575101e-05
"21Salz","Verarbeitung",2.45311939579551e-05
"21Salz","garantierte",2.9875967584303e-06
"21Salz","Frische",1.63039754852434e-06
"21Salz","beste",2.428964489809e-05
"21Salz","Zutaten",2.60936872109596e-06
"21Salz","Menschen",0.000592742115259171
"21Salz","Salz",5.14545513397024e-06
"21Salz","Chips",2.79377741208009e-06
"21Salz","Kartoffelchips",1.46123653621544e-07
"21Salz","Salz",5.14545513397024e-06
"21Salz","gemäß",7.78061912569683e-05
"21Salz","Prüfungen",1.05046342468995e-05
