"Product_ID","Word","MeanFreq"
"49bio","bio",1.14774820758612e-06
"49bio","organic",5.11475803932626e-07
"49bio","snacks",8.01185340293387e-09
"49bio","bio",1.14774820758612e-06
"49bio","organic",5.11475803932626e-07
"49bio","potato",4.11853822157582e-08
"49bio","chips",8.82017126002665e-08
"49bio","natural",3.83170822715329e-06
"49bio","natürlich",0.000123411457025213
"49bio","lecker",5.56451041688888e-07
"49bio","unsere",0.000130596454255283
"49bio","Bio",4.55995291304134e-06
"49bio","Kartoffel",1.1492568887661e-06
"49bio","Chips",2.79377741208009e-06
"49bio","unserem",5.19587501912611e-05
"49bio","Familienbetrieb",3.8171779692675e-07
"49bio","alter",1.80120696313679e-05
"49bio","Tradition",6.72763053444214e-05
"49bio","gebacken",8.13558983736584e-07
"49bio","verwenden",5.43856149306521e-05
"49bio","besten",6.71734123898204e-05
"49bio","Kartoffelsorten",1.85612512026978e-08
"49bio","fruchtbaren",3.07087850615062e-06
"49bio","Boden",6.03419739491073e-05
"49bio","biologisch",4.68746111437213e-06
"49bio","angebaut",1.42385636081599e-06
"49bio","dabei",0.000388894841307774
"49bio","bevorzugen",6.54758355267404e-06
"49bio","regionale",2.05722571990918e-05
"49bio","Kartoffeln",4.37649123341544e-06
"49bio","Niederlanden",1.02544145192951e-05
"49bio","Deutschland",0.000407632760470733
"49bio","verwenden",5.43856149306521e-05
"49bio","100",0.000128619183669798
"49bio","ungehärtetes",9.69411162454747e-10
"49bio","biologisches",9.58870600697992e-07
"49bio","Sonnenblumenöl",1.0863067601008e-07
"49bio","bio",1.14774820758612e-06
"49bio","organic",5.11475803932626e-07
"49bio","snacks",8.01185340293387e-09
"49bio","Kartoffelchips",1.46123653621544e-07
"49bio","kontrolliert",1.59706651174929e-05
"49bio","biologischem",4.18783002942291e-07
"49bio","Anbau",3.42001931130653e-06
"49bio","this",4.27142858825391e-05
"49bio","product",4.34519688496948e-06
"49bio","is",0.000157848509843461
"49bio","gluten",2.13696251805118e-08
"49bio","free",4.82951350022631e-06
