"","Phrase","Bound"
"1","backen","both"
"2","gebacken","both"
"3","ausgebacken","both"
"4","bio","both"
"5","David","both"
"6","deutschland","both"
"7","aus deutschland","both"
"8","aus den niederlanden oder deutschland","both"
"9","aus besten deutschen anbauregionen","both"
"10","von deutschen herstellern","both"
"11","dorfchips","both"
"12","ehrlich","both"
"13","die einfachen dinge","both"
"14","mehr braucht es nicht","both"
"15","ernten","both"
"16","familienbetrieb","both"
"17","feinste","both"
"18","hohen anteil an ungesättigten fettsäuren","both"
"19","reich an einfach ungesättigten fettsäuren","both"
"20","reich an ungesättigten fettsäuren","both"
"21","fresenius","both"
"22","frittiert","both"
"23","funny-frische knusprigkeit","both"
"24","garantie","both"
"25","ohne geschmacksverstärker","both"
"26","ohne zusatz von geschmacksverstärkenden zusatzstoffen","both"
"27","ohne gluten","both"
"28","glutenfrei","both"
"29","goldener preis","both"
"30","gourmet","both"
"31","von hand","both"
"32","handgefertigte","both"
"33","handgekochte","both"
"34","ohne hefeextrakt","both"
"35","heimat","both"
"36","heiner","both"
"37","heiner & martin","both"
"38","hergestellt","both"
"39","herstellung","both"
"40","für die menschen von hier","both"
"41","hofchips","both"
"42","auf dem familieneigenen kartoffelhof","both"
"43","johannings kartoffelhof","both"
"44","kochen","both"
"45","gekocht","both"
"46","ohne konservierungsstoffe","both"
"47","ohne künstliche aromen","both"
"48","ohne künstliche farbstoffe","both"
"49","ländlich-rustikal","both"
"50","von natur aus","both"
"51","nr 1","both"
"52","ohne","both"
"53","pfeffer","both"
"54","premium","both"
"55","aus eigener produktion","both"
"56","bei der produktion","both"
"57","qualität","both"
"58","qualitäts-garantie","both"
"59","qualitätskontrolle","both"
"60","markenqualität","both"
"61","qualitätsversprechen","both"
"62","aus den regionen lüneburger heide, oberpfalz und niederbayern","both"
"63","reinheitsgebot","both"
"64","rosmarin","both"
"65","geröstet","both"
"66","gerührt","both"
"67","gesalzen","both"
"68","sauerrahm","both"
"69","schneiden","both"
"70","geschnitten","both"
"71","schnittlauch","both"
"72","sonnenblumenöl","both"
"73","nach alter tradition","both"
"74","vegetariergeeignet","both"
"75","vegetarier geeignet","both"
"76","verarbeitung","both"
"77","vereinigten königreich","both"
"78","verfeinert","both"
"79","verlässt das werk","both"
"80","aus unserem eigenen vertragsanbau","both"
"81","von ausgesuchten vertragsbauern","both"
"82","wählen","both"
"83","gewaschen","both"
"84","wir von lorenz snack-world","both"
"85","wochenmarkt","both"
"86","würzen","both"
"87","würzung","both"
"88","würzmischung","both"
"89","gewürze","both"
"90","gewürzt","both"
"91","zubereitung","both"
"92","zufriedenheitsgarantie","both"
"93","100%","both"
"94","seit 2010","both"
"95","1969","both"
"96","in 3. generation","both"
"97","in kessel nr 4","both"
"98","no artificial ingredients","both"
"99","never use artificial flavors and colors","both"
"100","we only cook our chips in sunflower oil","both"
"101","certified","both"
"102","cracked","both"
"103","english","both"
"104","england","both"
"105","less fat","both"
"106","average fat reduced","both"
"107","finest","both"
"108","food ingredients","both"
"109","free","both"
"110","fried","both"
"111","gluten free","both"
"112","gluten-free","both"
"113","hand cooked","both"
"114","hand-cooked","both"
"115","less","both"
"116","local","both"
"117","longer fried than regular chips","both"
"118","made with","both"
"119","more","both"
"120","most","both"
"121","natural","both"
"122","never","both"
"123","no","both"
"124","only","both"
"125","bio-organic","both"
"126","organic","both"
"127","organics","both"
"128","pepper","both"
"129","potatoes","both"
"130","real","both"
"131","salt","both"
"132","salted","both"
"133","we season our chips","both"
"134","signature crunch","both"
"135","sliced","both"
"136","spices","both"
"137","spun","both"
"138","no added sugar","both"
"139","sunflower oil","both"
"140","thick cut","both"
"141","thicker","both"
"142","time-honoured","both"
"143","traditional","both"
"144","unique","both"
"145","suitable for vegans","both"
"146","vinegar","both"
"147","ausgesucht","left"
"148","ausgewählt","left"
"149","außergewöhnlich","left"
"150","besonder","left"
"151","beste","left"
"152","biologisch","left"
"153","einzigartig","left"
"154","erlesen","left"
"155","erstklassig","left"
"156","extra","left"
"157","familieneigen","left"
"158","garantier","left"
"159","gemahlen","left"
"160","größte","left"
"161","höchste","left"
"162","ingredient","left"
"163","kontrollier","left"
"164","landwirt","left"
"165","natürliche","left"
"166","perfekt","left"
"167","pur","left"
"168","regional","left"
"169","rein","left"
"170","speziell","left"
"171","un","left"
"172","ungehärtet","left"
"173","unverfälscht","left"
"174","unvergleichlich","left"
"175","unverwechselbar","left"
"176","verwende","left"
"177","zutat","left"
"178","frei","right"
"179","essig","none"
"180","frisch","none"
"181","kartoffel","none"
"182","paprika","none"
"183","salz","none"
